observation_1based,MATLAB_median_sita,Python_median_sita
1,0.00019559075762615307,0.0001936653134180233
2,0.01901461171292882,0.019216012209653854
3,0.018979985757880263,0.0190426092594862
4,0.000500818712622665,0.0005042842822149396
5,0.020760295726537165,0.02068186365067959
6,0.018918269413122503,0.01910322718322277
7,0.0014406943470677653,0.0015129548264667392
8,0.008740990170666213,0.009297904558479786
9,0.008438674555106883,0.009091257117688656
